series_id	pdb_id	target_names	publication_id	ligand_count	nonempty_murcko_scaffold_count	pKd_range	protein_entity_id	protein_asym_ids	alignment_identity	alignment_entity_coverage	aligned_residues	druglike_ligand_entities	assay_ligand_entity_matches	resolution_angstrom	experimental_methods	within_series_metadata_rank
G3S-471c43af0ba04cbb	6E4A	Bromodomain-containing protein 4	doi:10.1016/j.bmcl.2018.08.039	55	32	2.51188336	1	A;B	0.992248062	1	129	2	1	1.26	X-RAY DIFFRACTION	1
G3S-4883feb99a7244f2	4D7B	Transthyretin	doi:10.1021/acs.jmedchem.8b00817	8	4	2.45449839	1	A;B	1	0.9921875	127	1	1	1.15	X-RAY DIFFRACTION	1
G3S-4883feb99a7244f2	6TXW	Transthyretin	doi:10.1021/acs.jmedchem.8b00817	8	4	2.45449839	1	A;B	0.99137931	1	116	1	1	1.153	X-RAY DIFFRACTION	2
G3S-496a96ccb09a0048	8ZP2	Sodium-dependent noradrenaline transporter	doi:10.1016/s0960-894x(98)00062-6	19	11	4.37930552	1	A	1	1	571	2	0	2.4	ELECTRON MICROSCOPY	1
G3S-496a96ccb09a0048	8Y92	Sodium-dependent noradrenaline transporter	doi:10.1016/s0960-894x(98)00062-6	19	11	4.37930552	1	A;B	1	1	617	1	0	3.29	ELECTRON MICROSCOPY	2
G3S-49ed2ea8183b105c	3HS4	Carbonic anhydrase 2	doi:10.1016/j.bmc.2010.09.011	15	8	3.79588002	1	A	1	1	260	2	1	1.1	X-RAY DIFFRACTION	1
G3S-49ed2ea8183b105c	3MHO	Carbonic anhydrase 2	doi:10.1016/j.bmc.2010.09.011	15	8	3.79588002	1	A	1	1	260	1	1	1.15	X-RAY DIFFRACTION	2
G3S-4be267e9de455895	4IQK	Kelch-like ECH-associated protein 1	doi:10.1021/acs.jmedchem.9b00723	10	7	4.82487599	1	A	0.989619377	0.966555184	289	1	1	1.97	X-RAY DIFFRACTION	1
G3S-4be267e9de455895	4XMB	Kelch-like ECH-associated protein 1	doi:10.1021/acs.jmedchem.9b00723	10	7	4.82487599	1	A	1	1	289	1	1	2.428	X-RAY DIFFRACTION	2
G3S-4c1b91d17d81423a	5D1J	Cyclin-dependent kinase 2	doi:10.1038/nbt.1990	11	11	4.21524338	1	A	1	1	298	1	1	1.8	X-RAY DIFFRACTION	1
G3S-4c1b91d17d81423a	2FVD	Cyclin-dependent kinase 2	doi:10.1038/nbt.1990	11	11	4.21524338	1	A	1	1	298	1	1	1.85	X-RAY DIFFRACTION	2
G3S-4e6759c45d9a6b9b	5DT0	Aurora kinase A	doi:10.1038/nbt1358	11	11	3.25644786	1	A	0.996226415	0.970695971	265	1	1	2.15	X-RAY DIFFRACTION	1
G3S-4e6759c45d9a6b9b	5DPV	Aurora kinase A	doi:10.1038/nbt1358	11	11	3.25644786	1	A	0.996226415	0.970695971	265	2	1	2.285	X-RAY DIFFRACTION	2
G3S-4f4f25ce439afb73	3M98	Carbonic anhydrase 2	doi:10.1016/j.bmc.2010.09.016	15	6	2.14612804	1	A	1	1	260	2	1	1.5	X-RAY DIFFRACTION	1
G3S-4f4f25ce439afb73	3BL1	Carbonic anhydrase 2	doi:10.1016/j.bmc.2010.09.016	15	6	2.14612804	1	A	1	1	260	1	0	2.1	X-RAY DIFFRACTION	2
G3S-502e01631feedf35	5H2U	Protein-tyrosine kinase 6	doi:10.1038/nbt.1990	21	21	3.06550155	1	A;B;C;D	0.996183206	0.981273408	262	2	1	2.24	X-RAY DIFFRACTION	1
G3S-517155e5e2356899	2OHL	Beta-secretase 1	doi:10.1021/jm201441k	12	4	2.1931246	1	A	0.995024876	1	402	1	1	2.65	X-RAY DIFFRACTION	1
G3S-51759ead81a2003d	4QXV	Transthyretin	doi:10.1021/acs.jmedchem.5b00544	9	5	1.23408321	1	A;B	1	1	127	2	1	1.12	X-RAY DIFFRACTION	1
G3S-51759ead81a2003d	4WO0	Transthyretin	doi:10.1021/acs.jmedchem.5b00544	9	5	1.23408321	1	A;B	1	1	127	1	1	1.339	X-RAY DIFFRACTION	2
G3S-532f119ff68b2182	6DYZ	S-methyl-5'-thioadenosine phosphorylase	doi:10.1021/acs.jmedchem.8b01642	13	8	2.04575749	1	A	1	0.952861953	283	1	0	1.62	X-RAY DIFFRACTION	1
G3S-532f119ff68b2182	6DZ0	S-methyl-5'-thioadenosine phosphorylase	doi:10.1021/acs.jmedchem.8b01642	13	8	2.04575749	1	A	1	0.952861953	283	1	0	1.62	X-RAY DIFFRACTION	2
G3S-5422bb33ac137be9	3RGF	Cyclin-dependent kinase 8	doi:10.1038/nbt1358	8	8	3.2155998	1	A	1	0.995061728	403	2	1	2.2	X-RAY DIFFRACTION	1
G3S-55930eb8673c0eee	3K54	Tyrosine-protein kinase BTK	doi:10.1038/nbt.1990	24	24	3.74596657	1	A	0.996402878	0.982332155	278	1	1	1.94	X-RAY DIFFRACTION	1
G3S-55930eb8673c0eee	3OCT	Tyrosine-protein kinase BTK	doi:10.1038/nbt.1990	24	24	3.74596657	1	A	0.996212121	0.996226415	264	1	1	1.95	X-RAY DIFFRACTION	2
G3S-57758481291b0ab8	1LJT	Macrophage migration inhibitory factor	doi:10.1021/acs.jmedchem.0c01160	10	9	3.46797788	1	A;B;C	1	1	114	1	0	2	X-RAY DIFFRACTION	1
G3S-57f29a986d5123ab	6UJ4	WD repeat-containing protein 5	doi:10.1021/acs.jmedchem.0c00224	30	22	2.5797836	1	A;B	1	1	304	1	1	1.53	X-RAY DIFFRACTION	1
G3S-57f29a986d5123ab	6UOZ	WD repeat-containing protein 5	doi:10.1021/acs.jmedchem.0c00224	30	22	2.5797836	1	A;B	1	1	304	1	1	1.532	X-RAY DIFFRACTION	2
G3S-5848d835f7a47085	4CG8	Choline kinase alpha	doi:10.1016/j.ejmech.2020.112797	12	12	2.64664212	1	A	1	1	383	2	1	1.75	X-RAY DIFFRACTION	1
G3S-59125c7fdb97217d	5MSA	Carbonic anhydrase 12	doi:10.1016/j.bmc.2013.01.008	31	18	3.27083521	1	A;B;C;D	1	0.996197719	262	3	1	1.2	X-RAY DIFFRACTION	1
G3S-59125c7fdb97217d	5MSB	Carbonic anhydrase 12	doi:10.1016/j.bmc.2013.01.008	31	18	3.27083521	1	A;B;C;D	1	0.996197719	262	2	1	1.3	X-RAY DIFFRACTION	2
G3S-5938ff8da5e084b3	7GUD	B-cell lymphoma 6 protein	doi:10.1021/acs.jmedchem.7b00313	12	9	6.7212464	1	A	1	0.9765625	125	1	1	1.8	X-RAY DIFFRACTION	1
G3S-5938ff8da5e084b3	7GUE	B-cell lymphoma 6 protein	doi:10.1021/acs.jmedchem.7b00313	12	9	6.7212464	1	A	1	0.9765625	125	1	1	1.8	X-RAY DIFFRACTION	2
G3S-5dd0b4d457e8529a	9OS6	Epidermal growth factor receptor	doi:10.1038/nbt1358	10	10	4.64365437	1	A	1	1	327	1	1	2.75	X-RAY DIFFRACTION	1
G3S-5dd0b4d457e8529a	4I22	Epidermal growth factor receptor	doi:10.1038/nbt1358	10	10	4.64365437	1	A	0.990853659	0.996960486	328	1	0	1.71	X-RAY DIFFRACTION	2
G3S-5fea584126042c2e	5J89	Programmed cell death 1 ligand 1	pmid:35429911	12	4	4.46922412	1	A;B;C;D	1	0.923611111	133	1	1	2.2	X-RAY DIFFRACTION	1
G3S-61544361ce31eac2	2WX2	Sterol 14-alpha demethylase	doi:10.1016/j.chembiol.2007.10.011	16	15	1.77815125	1	A;B	1	0.972515856	460	1	1	2.27	X-RAY DIFFRACTION	1
G3S-61544361ce31eac2	2WUZ	Sterol 14-alpha demethylase	doi:10.1016/j.chembiol.2007.10.011	16	15	1.77815125	1	A;B	1	0.972515856	460	1	1	2.35	X-RAY DIFFRACTION	2
G3S-641793e1a215b11a	1H9U	Retinoic acid receptor RXR-beta	doi:10.1021/jm00016a018	11	9	2.45382778	1	A;B;C;D	0.982142857	1	224	1	1	2.7	X-RAY DIFFRACTION	1
G3S-6454ff7a6533168a	4ABV	Transthyretin	doi:10.1021/jm0700159	10	3	5.8573325	1	A;B	1	1	124	1	1	1.8	X-RAY DIFFRACTION	1
G3S-6454ff7a6533168a	4ABU	Transthyretin	doi:10.1021/jm0700159	10	3	5.8573325	1	A;B	1	1	124	1	1	1.86	X-RAY DIFFRACTION	2
G3S-69e1fcfda0e309e8	2Y6O	Ephrin type-A receptor 4	doi:10.1038/nbt.1990	21	21	3.87020876	1	A	0.996563574	1	291	1	1	1.543	X-RAY DIFFRACTION	1
G3S-6d882e44858045ed	4XX9	3-phosphoinositide-dependent protein kinase 1	doi:10.1021/acs.jmedchem.5b01216	11	5	1.27300127	1	A	0.993548387	1	310	3	1	1.4	X-RAY DIFFRACTION	1
G3S-6e053cabbbcbcc51	5E88	Galectin-3	doi:10.1021/acs.jmedchem.3c01787	9	9	2.22847933	1	A	1	1	139	1	1	1.6	X-RAY DIFFRACTION	1
G3S-6e529abe43b8b245	4XLI	Tyrosine-protein kinase ABL2	doi:10.1038/nbt.1990	37	37	4.60840017	1	A;B	0.996268657	1	268	1	1	2.5	X-RAY DIFFRACTION	1
G3S-6f45b1bb0dddfac7	8B99	Tyrosine-protein kinase JAK2	pmid:35586418	13	10	2.29067768	1	A	0.989169675	0.958477509	277	2	1	1.6	X-RAY DIFFRACTION	1
G3S-6f45b1bb0dddfac7	5USY	Tyrosine-protein kinase JAK2	pmid:35586418	13	10	2.29067768	1	A;B	1	0.92721519	293	2	1	2	X-RAY DIFFRACTION	2
G3S-6fbd681c38d3a2a2	6I18	Fascin	doi:10.1016/j.bmcl.2019.01.035	23	13	3.13718157	1	A	1	1	493	1	1	1.49	X-RAY DIFFRACTION	1
G3S-6fbd681c38d3a2a2	6I12	Fascin	doi:10.1016/j.bmcl.2019.01.035	23	13	3.13718157	1	A	1	1	493	1	1	1.65	X-RAY DIFFRACTION	2
G3S-70ec124b3b4163f0	3C0Z	Histone deacetylase 7	doi:10.1016/j.bmc.2011.11.041	21	9	1.72893323	1	A;B;C	1	0.997635934	422	1	1	2.1	X-RAY DIFFRACTION	1
G3S-7258bf496c1f8d25	4ZZX	Poly [ADP-ribose] polymerase 2	doi:10.1021/acs.jmedchem.5b00680	34	23	4.50664997	1	A;B	1	0.994490358	361	1	1	1.65	X-RAY DIFFRACTION	1
G3S-7258bf496c1f8d25	4ZZY	Poly [ADP-ribose] polymerase 2	doi:10.1021/acs.jmedchem.5b00680	34	23	4.50664997	1	A	1	0.994490358	361	1	1	2.2	X-RAY DIFFRACTION	2
G3S-72740991b3279a1e	8OU2	Nucleosome-remodeling factor subunit BPTF	doi:10.1021/acs.jmedchem.1c00721	11	10	2.84422333	1	A;B	1	0.983739837	121	2	1	1.6	X-RAY DIFFRACTION	1
G3S-72740991b3279a1e	7LPK	Nucleosome-remodeling factor subunit BPTF	doi:10.1021/acs.jmedchem.1c00721	11	10	2.84422333	1	A;B	1	0.983739837	121	1	0	1.39	X-RAY DIFFRACTION	2
G3S-743b25bd8ed06539	7AXR	Bromodomain-containing protein 4	doi:10.1021/acs.jmedchem.1c01119	11	5	2.52846297	1	A	0.992125984	1	127	1	1	1.5	X-RAY DIFFRACTION	1
G3S-743b25bd8ed06539	4LYW	Bromodomain-containing protein 4	doi:10.1021/acs.jmedchem.1c01119	11	5	2.52846297	1	A	1	0.984251969	125	1	1	1.95	X-RAY DIFFRACTION	2
G3S-7441d96b81b94068	7TAB	Transcription activator BRG1	doi:10.1021/acs.jmedchem.3c01149	19	9	3.95424251	1	A	1	0.984615385	128	1	1	1.16	X-RAY DIFFRACTION	1
G3S-748b7ab52baa5a8e	5EP7	CREB-binding protein	doi:10.1021/acsmedchemlett.8b00286	8	8	3.82390874	1	A	1	0.983193277	117	1	1	1.198	X-RAY DIFFRACTION	1
G3S-748b7ab52baa5a8e	5MME	CREB-binding protein	doi:10.1021/acsmedchemlett.8b00286	8	8	3.82390874	1	A;B	1	0.983193277	117	1	1	1.35	X-RAY DIFFRACTION	2
G3S-780095ecb7b0162a	3FQS	Tyrosine-protein kinase SYK	doi:10.1038/nbt.1990	19	19	2.9765189	1	A	1	0.962199313	280	1	1	2.1	X-RAY DIFFRACTION	1
G3S-78b1342acf926183	6V6Z	Kelch-like ECH-associated protein 1	pmid:35549469	12	5	2.33210395	1	A;B;C;D	0.993079585	0.996551724	289	3	1	1.6	X-RAY DIFFRACTION	1
G3S-78b1342acf926183	6HWS	Kelch-like ECH-associated protein 1	pmid:35549469	12	5	2.33210395	1	A	1	1	289	1	1	1.75	X-RAY DIFFRACTION	2
G3S-7966fe2f3127d23f	5MQ1	Bromodomain-containing protein 7	doi:10.1021/acs.jmedchem.9b01980	8	7	1.95860731	1	A	1	0.991071429	111	1	1	1.5	X-RAY DIFFRACTION	1
G3S-7966fe2f3127d23f	6V1F	Bromodomain-containing protein 7	doi:10.1021/acs.jmedchem.9b01980	8	7	1.95860731	1	A	0.984	0.992063492	125	1	1	2	X-RAY DIFFRACTION	2
G3S-7a52256b4ab19efa	5I9Y	Ephrin type-A receptor 2	doi:10.1038/nbt.1990	23	23	3.86297276	1	A	1	0.996732026	305	1	1	1.228	X-RAY DIFFRACTION	1
G3S-7a52256b4ab19efa	5I9X	Ephrin type-A receptor 2	doi:10.1038/nbt.1990	23	23	3.86297276	1	A	1	0.996732026	305	1	1	1.427	X-RAY DIFFRACTION	2
G3S-7ad16b5be174b17e	3UP2	Aurora kinase A	doi:10.1021/cb200508b	10	3	1.36172784	1	A	0.996415771	1	279	1	1	2.3001	X-RAY DIFFRACTION	1
G3S-7ad16b5be174b17e	3UOD	Aurora kinase A	doi:10.1021/cb200508b	10	3	1.36172784	1	A	0.996415771	1	279	2	1	2.5002	X-RAY DIFFRACTION	2
G3S-7ad1fcb7cf793248	4WR8	Macrophage migration inhibitory factor	doi:10.1021/acsmedchemlett.7b00384	10	4	2.56427143	1	A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R	1	1	114	1	1	2.6	X-RAY DIFFRACTION	1
G3S-7b63d80d43bd8871	6MAE	UDP-3-O-acyl-N-acetylglucosamine deacetylase	doi:10.1021/acs.jmedchem.8b01287	16	9	2	1	A	1	1	299	1	0	1.8	X-RAY DIFFRACTION	1
G3S-7c62eb923238b778	7PDQ	Retinoic acid receptor RXR-alpha	doi:10.1021/jm00016a018	11	9	2.58696218	1	A	0.98340249	0.983673469	241	1	1	1.58	X-RAY DIFFRACTION	1
G3S-7c62eb923238b778	3H0A	Retinoic acid receptor RXR-alpha	doi:10.1021/jm00016a018	11	9	2.58696218	1	A	1	1	228	2	1	2.1	X-RAY DIFFRACTION	2
G3S-7c94d7d05a9d2f85	4MXO	Proto-oncogene tyrosine-protein kinase Src	doi:10.1038/nbt.1990	38	38	4.66005194	1	A;B	1	0.98951049	283	1	1	2.105	X-RAY DIFFRACTION	1
G3S-7c94d7d05a9d2f85	3G5D	Proto-oncogene tyrosine-protein kinase Src	doi:10.1038/nbt.1990	38	38	4.66005194	1	A;B	0.989399293	0.98951049	283	2	1	2.2	X-RAY DIFFRACTION	2
G3S-7d63354277860a98	3B28	Heat shock protein HSP 90-alpha	doi:10.1016/j.bmcl.2011.08.001	20	15	4.94564234	1	A;B	1	0.995633188	228	2	1	1.35	X-RAY DIFFRACTION	1
G3S-7d63354277860a98	3B27	Heat shock protein HSP 90-alpha	doi:10.1016/j.bmcl.2011.08.001	20	15	4.94564234	1	A	1	0.995633188	228	1	1	1.5	X-RAY DIFFRACTION	2
G3S-7e32e8326784c5b1	8VW5	E3 ubiquitin-protein ligase CBL-B	pmid:38894924	9	4	2.13469857	2	B	0.990322581	1	310	1	0	1.76	X-RAY DIFFRACTION	1
G3S-7e32e8326784c5b1	8VW4	E3 ubiquitin-protein ligase CBL-B	pmid:38894924	9	4	2.13469857	1	A;B	0.996774194	1	310	3	0	2.4	X-RAY DIFFRACTION	2
G3S-7f4093cbfc6a5ba7	4I22	Epidermal growth factor receptor	doi:10.1021/acs.jmedchem.9b00350	22	12	4.50657623	1	A	0.990853659	0.996960486	328	1	1	1.71	X-RAY DIFFRACTION	1
G3S-7f4093cbfc6a5ba7	4WKQ	Epidermal growth factor receptor	doi:10.1021/acs.jmedchem.9b00350	22	12	4.50657623	1	A	1	0.990909091	327	2	1	1.85	X-RAY DIFFRACTION	2
G3S-82d2cb1cb942342d	5VYY	Heat shock protein HSP 90-alpha	doi:10.1021/acs.jmedchem.6b00085	38	10	2.48012676	1	A	1	0.921875	236	1	1	1.792	X-RAY DIFFRACTION	1
G3S-82da8121de6eeecd	4Y8D	Cyclin-G-associated kinase	pmid:33970631	10	7	5.98296666	1	A;C	1	0.994117647	338	1	1	2.1	X-RAY DIFFRACTION	1
G3S-82da8121de6eeecd	5Y80	Cyclin-G-associated kinase	pmid:33970631	10	7	5.98296666	1	A	1	0.993610224	311	1	1	2.5	X-RAY DIFFRACTION	2
G3S-8337edc867d47bcc	5ETB	Peregrin	doi:10.1021/acs.jmedchem.6b00215	9	7	2.79908516	1	A	1	0.99137931	115	1	1	1.33	X-RAY DIFFRACTION	1
G3S-8337edc867d47bcc	5D7X	Peregrin	doi:10.1021/acs.jmedchem.6b00215	9	7	2.79908516	1	A	1	0.99137931	115	1	1	1.35	X-RAY DIFFRACTION	2
G3S-8379ede84125ecb5	5Y80	Cyclin-G-associated kinase	doi:10.1021/jm501759m	28	16	2.88605665	1	A	1	0.993610224	311	1	1	2.5	X-RAY DIFFRACTION	1
G3S-8379ede84125ecb5	5Y7Z	Cyclin-G-associated kinase	doi:10.1021/jm501759m	28	16	2.88605665	1	A;B	1	0.993610224	311	1	1	2.804	X-RAY DIFFRACTION	2
G3S-83ba16a2ad335359	4L59	Lethal(3)malignant brain tumor-like protein 3	doi:10.1039/c3md00197k	9	9	2.07525095	1	A	1	1	317	1	1	2.29	X-RAY DIFFRACTION	1
G3S-8447070a69d51ab5	5I9Y	Ephrin type-A receptor 2	doi:10.1038/nbt1358	10	10	3.86297276	1	A	1	0.996732026	305	1	1	1.228	X-RAY DIFFRACTION	1
G3S-8468ef8a559bdade	5LL5	Carbonic anhydrase 12	doi:10.3109/14756366.2012.757223	43	5	2.74472749	1	A;B;C;D	1	0.996197719	262	1	1	1.42	X-RAY DIFFRACTION	1
G3S-8468ef8a559bdade	5LL9	Carbonic anhydrase 12	doi:10.3109/14756366.2012.757223	43	5	2.74472749	1	A;B;C;D	1	0.996197719	262	1	1	1.45	X-RAY DIFFRACTION	2
G3S-85936f03e9d82fdc	7Z1G	Glycogen synthase kinase-3 beta	pmid:36876904	25	23	5.31887959	1	A	1	0.983516484	358	2	1	2.85	X-RAY DIFFRACTION	1
G3S-85936f03e9d82fdc	7Z1F	Glycogen synthase kinase-3 beta	pmid:36876904	25	23	5.31887959	1	A;B	1	0.983516484	358	1	1	3	X-RAY DIFFRACTION	2
G3S-86c78a56d4596857	5LLA	Carbonic anhydrase 13	doi:10.3109/14756366.2012.757223	43	5	3.30103	1	A;B	1	0.996197719	262	2	1	1.5	X-RAY DIFFRACTION	1
G3S-86c78a56d4596857	3CZV	Carbonic anhydrase 13	doi:10.3109/14756366.2012.757223	43	5	3.30103	1	A;B	1	0.992424242	262	2	1	2	X-RAY DIFFRACTION	2
G3S-88577c122fa18c76	4GHI	Endothelial PAS domain-containing protein 1	doi:10.1021/jm301847z	20	3	1.82390874	1	A	0.991071429	0.957264957	112	1	1	1.5	X-RAY DIFFRACTION	1
G3S-88577c122fa18c76	4GS9	Endothelial PAS domain-containing protein 1	doi:10.1021/jm301847z	20	3	1.82390874	1	A	0.991071429	0.957264957	112	2	1	1.72	X-RAY DIFFRACTION	2
G3S-8908716879facb98	5Y80	Cyclin-G-associated kinase	doi:10.1021/acs.jmedchem.9b00350	20	10	4.22184875	1	A	1	0.993610224	311	1	1	2.5	X-RAY DIFFRACTION	1
G3S-8908716879facb98	5Y7Z	Cyclin-G-associated kinase	doi:10.1021/acs.jmedchem.9b00350	20	10	4.22184875	1	A;B	1	0.993610224	311	1	1	2.804	X-RAY DIFFRACTION	2
G3S-8afbd56096fe1b47	6S57	ATPase family AAA domain-containing protein 2	doi:10.1021/acs.jmedchem.9b00673	14	13	1.4000595	1	A	1	0.984615385	128	1	1	1.82	X-RAY DIFFRACTION	1
G3S-8c3d32f3825ec8c3	4IA9	WD repeat-containing protein 5	doi:10.1021/ml300467n	19	7	1.76729332	1	A	1	0.996794872	311	1	1	1.66	X-RAY DIFFRACTION	1
G3S-8c3d32f3825ec8c3	3SMR	WD repeat-containing protein 5	doi:10.1021/ml300467n	19	7	1.76729332	1	A;B;C;D	1	0.996794872	311	1	1	1.82	X-RAY DIFFRACTION	2
G3S-8f554307cbbdbf67	5C5A	E3 ubiquitin-protein ligase Mdm2	pmid:39185935	18	13	5.35410844	1	A;B	1	1	92	1	0	1.146	X-RAY DIFFRACTION	1
G3S-8f554307cbbdbf67	5ZXF	E3 ubiquitin-protein ligase Mdm2	pmid:39185935	18	13	5.35410844	1	A	1	1	87	1	0	1.25	X-RAY DIFFRACTION	2
G3S-8fb4021f4421ad5b	8G43	Histone deacetylase 6	doi:10.1021/acs.jmedchem.3c00314	22	8	2.25655945	1	A	1	0.981308411	105	1	1	1.55	X-RAY DIFFRACTION	1
G3S-8fb4021f4421ad5b	8G44	Histone deacetylase 6	doi:10.1021/acs.jmedchem.3c00314	22	8	2.25655945	1	A	1	0.981308411	105	1	1	1.55	X-RAY DIFFRACTION	2
G3S-91dd2c635f86b568	5CGB	Type 1 fimbrin D-mannose specific adhesin	pmid:38367495	20	7	3.69585677	1	A;B	1	1	158	1	0	1.6	X-RAY DIFFRACTION	1
G3S-9236ab9d73532a9d	6NFT	Ubiquitin carboxyl-terminal hydrolase 5	doi:10.1021/acs.jmedchem.9b00988	26	12	1.2524796	1	A;B	1	0.991735537	120	1	1	1.65	X-RAY DIFFRACTION	1
G3S-9236ab9d73532a9d	6DXH	Ubiquitin carboxyl-terminal hydrolase 5	doi:10.1021/acs.jmedchem.9b00988	26	12	1.2524796	1	A	1	0.991735537	120	1	1	2	X-RAY DIFFRACTION	2
G3S-929205c457d12bfd	6F7G	Trp operon repressor	pmid:3549712	20	3	3.74066864	1	A;B	1	1	103	1	1	1.656	X-RAY DIFFRACTION	1
G3S-9589527ecb9747c1	5G1A	Histone deacetylase-like amidohydrolase	doi:10.1016/j.bmc.2011.11.041	22	10	2.22724378	1	A;B	0.997282609	0.991913747	368	3	1	1.42	X-RAY DIFFRACTION	1
G3S-9589527ecb9747c1	1ZZ1	Histone deacetylase-like amidohydrolase	doi:10.1016/j.bmc.2011.11.041	22	10	2.22724378	1	A;B;C;D	0.997289973	1	369	1	1	1.57	X-RAY DIFFRACTION	2
G3S-95eff58067253a12	4PX3	Glucokinase regulatory protein	doi:10.1021/acs.jmedchem.5b01367	9	6	2.86530143	1	A;B	1	0.979623824	625	3	0	2.43	X-RAY DIFFRACTION	1
G3S-96b21ba0d0525be3	4AT5	BDNF/NT-3 growth factors receptor	doi:10.1038/nbt1358	12	12	2.7424357	1	A	1	0.989966555	296	2	1	1.71	X-RAY DIFFRACTION	1
G3S-9838f6e0d45906f5	4QB3	Bromodomain-containing protein 4	pmid:38295759	11	8	2.07457199	1	A	0.992125984	1	127	1	1	0.94	X-RAY DIFFRACTION	1
G3S-9838f6e0d45906f5	7JKY	Bromodomain-containing protein 4	pmid:38295759	11	8	2.07457199	1	A	1	0.984251969	125	1	0	1.16	X-RAY DIFFRACTION	2
G3S-9d0d3bffdbe8c8bd	7AEN	Galectin-8	doi:10.1016/j.ejmech.2021.113664	24	9	3.62324929	1	A;B	1	1	150	2	0	1.6	X-RAY DIFFRACTION	1
G3S-9d3d506752fabc29	5MSA	Carbonic anhydrase 12	doi:10.1021/acs.jmedchem.5b01723	15	9	3.70097072	1	A;B;C;D	1	0.996197719	262	3	1	1.2	X-RAY DIFFRACTION	1
G3S-9d3d506752fabc29	5LL5	Carbonic anhydrase 12	doi:10.1021/acs.jmedchem.5b01723	15	9	3.70097072	1	A;B;C;D	1	0.996197719	262	1	1	1.42	X-RAY DIFFRACTION	2
G3S-9fd2b188d340d694	6H1I	Pirin	doi:10.1021/acs.jmedchem.6b01055	8	8	1.9749208	1	A	1	0.989761092	290	2	1	1.69	X-RAY DIFFRACTION	1
G3S-a0b462ec59730874	5NZO	D-3-phosphoglycerate dehydrogenase	pmid:33756126	15	12	3.2364577	1	A;B	1	1	195	1	1	1.29	X-RAY DIFFRACTION	1
G3S-a0b462ec59730874	5NZP	D-3-phosphoglycerate dehydrogenase	pmid:33756126	15	12	3.2364577	1	A;B	1	1	204	1	1	1.3	X-RAY DIFFRACTION	2
G3S-a0eeacac2c679281	7Z62	PA-I galactophilic lectin	doi:10.1016/j.ejmech.2022.115025	13	10	2.62838893	1	A;B	1	1	121	1	1	1.53	X-RAY DIFFRACTION	1
G3S-a0eeacac2c679281	7Z63	PA-I galactophilic lectin	doi:10.1016/j.ejmech.2022.115025	13	10	2.62838893	1	A;B;C;D	1	1	121	1	1	1.75	X-RAY DIFFRACTION	2
G3S-a38e7f40310e2c16	6OBB	Tyrosine-protein kinase JAK2	doi:10.1021/acs.jmedchem.0c00192	11	7	2.03696338	1	A	0.989169675	0.958477509	277	1	1	1.904	X-RAY DIFFRACTION	1
G3S-a38e7f40310e2c16	6OBL	Tyrosine-protein kinase JAK2	doi:10.1021/acs.jmedchem.0c00192	11	7	2.03696338	1	A	0.989169675	0.958477509	277	1	1	2.061	X-RAY DIFFRACTION	2
G3S-a496fe9cc69b5d9f	6X4O	Peptidyl-prolyl cis-trans isomerase A	doi:10.1021/acs.jmedchem.8b00802	23	17	2.15358392	1	A	1	0.988023952	165	1	0	1.5	X-RAY DIFFRACTION	1
G3S-a496fe9cc69b5d9f	6X4P	Peptidyl-prolyl cis-trans isomerase A	doi:10.1021/acs.jmedchem.8b00802	23	17	2.15358392	1	A	1	0.988023952	165	1	0	1.5	X-RAY DIFFRACTION	2
G3S-a508a4b502827b89	7ER7	Flavin reductase (NADPH)	doi:10.1021/acs.jmedchem.1c01664	8	8	1.3832887	1	A;B	1	0.995169082	206	2	1	1.7	X-RAY DIFFRACTION	1
G3S-a508a4b502827b89	7ER8	Flavin reductase (NADPH)	doi:10.1021/acs.jmedchem.1c01664	8	8	1.3832887	1	A;B	1	0.953703704	206	2	0	1.45	X-RAY DIFFRACTION	2
G3S-a5df04a0e400b0db	4XLI	Tyrosine-protein kinase ABL2	doi:10.1038/nbt1358	15	15	4.28806502	1	A;B	0.996268657	1	268	1	1	2.5	X-RAY DIFFRACTION	1
G3S-a5f8f9b4623f1ec1	3ML5	Carbonic anhydrase 7	doi:10.3109/14756366.2012.757223	43	5	5.14874165	1	A	0.992424242	0.981412639	264	1	1	2.05	X-RAY DIFFRACTION	1
G3S-a5f8f9b4623f1ec1	3MDZ	Carbonic anhydrase 7	doi:10.3109/14756366.2012.757223	43	5	5.14874165	1	A	1	0.918149466	258	2	1	2.32	X-RAY DIFFRACTION	2
G3S-a607f21d0b792e74	6FDY	Serine/threonine-protein kinase ULK3	doi:10.1038/nbt.1990	25	25	3.91645395	1	A	1	1	276	1	1	1.7	X-RAY DIFFRACTION	1
G3S-a620d876229e4fc4	4XT2	Endothelial PAS domain-containing protein 1	doi:10.1021/acs.jmedchem.5b00529	13	2	1.48840227	2	C;D	0.991071429	0.957264957	112	1	0	1.698	X-RAY DIFFRACTION	1
G3S-a8d224cda1a84a3f	6OP9	Receptor tyrosine-protein kinase erbB-3	doi:10.1038/nbt.1990	17	17	4.0772971	1	A	1	1	328	1	1	2.501	X-RAY DIFFRACTION	1
