panel	assay_target_label	gene_symbol	uniprot_accession	reported_clone	standardized_estimand_id	davis_structure_component	eligibility_status
KIRHub2026	GRK4	GRK4	P32298	full-length	UniProt:P32298:187-449|KLIFS:13:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	GRK5	GRK5	P34947	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	GRK6	GRK6	P43250	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	GRK7	GRK7	Q8WTQ7	full-length	UniProt:Q8WTQ7:191-454|KLIFS:17:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	GSK3a	GSK3A	P49840	full length	UniProt:P49840:119-403|KLIFS:237:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	GSK3b	GSK3B	P49841	full-length	UniProt:P49841:56-340|KLIFS:238:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	Haspin	GSG2	Q8TF76	aa471-798			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	HCK	HCK	P08631	full-length	UniProt:P08631:262-515|KLIFS:465:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	HGK/MAP4K4	MAP4K4	O95819	full catalytic	UniProt:O95819:25-289|KLIFS:359:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	HIPK1	HIPK1	Q86Z02	aa 158-555	UniProt:Q86Z02:190-518|KLIFS:235:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	HIPK2	HIPK2	Q9H2X6	aa 165-564	UniProt:Q9H2X6:199-527|KLIFS:233:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	HIPK3	HIPK3	Q9H422	aa 163-562	UniProt:Q9H422:197-525|KLIFS:232:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	HIPK4	HIPK4 	Q8NE63	full-length	UniProt:Q8NE63:11-347|KLIFS:234:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	HPK1/MAP4K1	MAP4K1	Q92918	Catalytic (aa11-346)	UniProt:Q92918:17-274|KLIFS:358:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IGF1R	IGF1R	P08069	aa 960-1367	UniProt:P08069:999-1274|KLIFS:432:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IKKa/CHUK	CHUK	O15111	full-length	UniProt:O15111:15-302|KLIFS:269:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IKKb/IKBKB	IKBKB	O14920	full-length	UniProt:O14920:15-300|KLIFS:270:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IKKe/IKBKE	IKBKE	Q14164	full-length	UniProt:Q14164:9-315|KLIFS:271:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IR	INSR	P06213	aa 1011-end	UniProt:P06213:1023-1298|KLIFS:433:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	IRAK1	IRAK1	P51617	aa 197-721	UniProt:P51617:212-521|KLIFS:486:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IRAK4	IRAK4	Q9NWZ3	full-length	UniProt:Q9NWZ3:186-454|KLIFS:489:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	IRR/INSRR	INSRR	P14616	cytoplasmic	UniProt:P14616:979-1254|KLIFS:434:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	ITK	ITK	Q08881	full-length	UniProt:Q08881:363-615|KLIFS:474:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	JAK1	JAK1 	P23458	aa 866-1154	UniProt:P23458:875-1153|KLIFS:435:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	JAK2	JAK2	O60674	aa 809-1132 +g	UniProt:O60674:849-1124|KLIFS:436:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	JAK3	JAK3	P52333	aa 781-1124	UniProt:P52333:822-1111|KLIFS:437:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	JNK1	MAPK8	P45983-2	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	JNK2	MAPK9	P45984-1	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	JNK3	MAPK10	P53779	full length	UniProt:P53779:64-359|KLIFS:247:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	KDR/VEGFR2	KDR	P35968	aa 789-1356	UniProt:P35968:834-1162|KLIFS:485:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	KHS/MAP4K5	MAP4K5	Q9Y4K4	full length	UniProt:Q9Y4K4:20-277|KLIFS:357:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	LATS1	LATS1	O95835	Catalytic (aa589-1130end)	UniProt:O95835:705-1010|KLIFS:23:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	LATS2	LATS2	Q9NRM7	Catalytic (aa480-1088)	UniProt:Q9NRM7:668-973|KLIFS:26:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	LCK	LCK	P06239	full-length	UniProt:P06239:245-498|KLIFS:466:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	LCK2/ICK	ICK	Q9UPZ9	full-length	UniProt:Q9UPZ9:4-284|KLIFS:255:positions1-85	PTC004	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	LIMK1	LIMK1	P53667	catalytic domain (aa 285-638)	UniProt:P53667:339-604|KLIFS:490:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	LIMK2	LIMK2	P53671	full length (1-638)	UniProt:P53671:331-608|KLIFS:491:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	LKB1	STK11/STRADA/CAB39	STK11:Q15831; STRADA:Q7RTN6; CAB39:Q9Y376	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	LOK/STK10	STK10	O94804	aa 1-348	UniProt:O94804:36-294|KLIFS:373:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	LRRK2	LRRK2	Q5S007	aa 970-2527	UniProt:Q5S007:1879-2138|KLIFS:495:positions1-85	PTC007	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	LYN	LYN	P07948-1	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	LYN B	LYN	P07948-2	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	MAK	MAK	P20794	full-length	UniProt:P20794:4-284|KLIFS:253:positions1-85	PTC004	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MAPKAPK2	MAPKAPK2	P49137	ful length	UniProt:P49137:64-325|KLIFS:150:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MAPKAPK3	MAPKAPK3	Q16644	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	MAPKAPK5/PRAK	MAPKAPK5	Q8IW41	full length	UniProt:Q8IW41:22-304|KLIFS:149:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MARK1	MARK1	Q9P0L2	full length	UniProt:Q9P0L2:60-311|KLIFS:125:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MARK2/PAR-1Ba	MARK2	Q7KZI7-4	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	MARK3	MARK3	P27448	full length	UniProt:P27448:56-307|KLIFS:126:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MARK4	MARK4	Q96L34	full length	UniProt:Q96L34:59-310|KLIFS:127:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MAST3	MAST3	O60307	aa1-723			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	MASTL	MASTL	Q96GX5	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	MEK1	MAP2K1	Q02750	full length	UniProt:Q02750:68-361|KLIFS:383:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MEK2	MAP2K2	P36507	full length	UniProt:P36507:72-369|KLIFS:384:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MEK3 	MP2K3	P46734	full-length (1-347end)	UniProt:P46734:64-325|KLIFS:385:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MEK5	MAP2K5	Q13163	full-length	UniProt:Q13163:166-409|KLIFS:388:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MEKK1	MAP3K1	Q13233	aa 900-1748	UniProt:Q13233:1243-1508|KLIFS:348:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MEKK2	MAP3K2	Q9Y2U5	full length	UniProt:Q9Y2U5:357-617|KLIFS:351:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MEKK3	MAP3K3	Q99759	full length	UniProt:Q99759:362-622|KLIFS:350:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MEKK6	MAP3K6	O95382	aa 620-950	UniProt:O95382:648-906|KLIFS:346:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MELK	MELK	Q14680	aa 1-340	UniProt:Q14680:11-263|KLIFS:128:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MINK/MINK1	MINK1	Q8N4C8	full catalytic	UniProt:Q8N4C8:25-289|KLIFS:362:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MKK4	MAP2K4	P45985	aa 33-end	UniProt:P45985:102-367|KLIFS:387:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MKK6	MAP2K6	P52564	full length	UniProt:P52564:53-314|KLIFS:386:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MKK7	MAP2K7	O14733	full-length	UniProt:O14733:120-380|KLIFS:389:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MLCK/MYLK	MYLK	Q15746	Catalytic (aa 1428-1771)	UniProt:Q15746:1464-1719|KLIFS:153:positions1-85	PTC005	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MLCK2/MYLK2	MYLK2	Q9H1R3	full length	UniProt:Q9H1R3:285-540|KLIFS:155:positions1-85	PTC005	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MLK1/MAP3K9	MAP3K9	P80192	full catalytic	UniProt:P80192:144-412|KLIFS:500:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MLK2/MAP3K10	MAP3K10	Q02779	full catalytic	UniProt:Q02779:98-360|KLIFS:501:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MLK3/MAP3K11	MAP3K11	Q16584	full catalytic	UniProt:Q16584:117-379|KLIFS:502:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MLK4		Q5TCX8	aa 114-420			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	MNK1	MKNK1	Q9BUB5	full length	UniProt:Q9BUB5:49-374|KLIFS:152:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MNK2	MKNK2	Q9HBH9	full length	UniProt:Q9HBH9:84-388|KLIFS:151:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MRCKa/CDC42BPA	CDC42BPA 	Q5VT25	aa 1-473	UniProt:Q5VT25:77-343|KLIFS:6:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MRCKb/CDC42BPB	CDC42BPB 	Q9Y5S2	aa 1-473	UniProt:Q9Y5S2:76-342|KLIFS:7:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MSK1/RPS6KA5	RPS6KA5	O75582	full-length	UniProt:O75582:49-318|KLIFS:49:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MSK2/RPS6KA4	RPS6KA4	O75676	full-length	UniProt:O75676:33-301|KLIFS:47:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MSSK1/STK23	SRPK3	Q9UPE1	full-length	UniProt:Q9UPE1:79-565|KLIFS:258:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MST1/STK4	STK4	Q13043	full-length	UniProt:Q13043:30-281|KLIFS:364:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MST2/STK3	STK3	Q13188	full length	UniProt:Q13188:27-278|KLIFS:363:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MST3/STK24	STK24	Q9Y6E0	full length	UniProt:Q9Y6E0:36-286|KLIFS:380:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	MST4	MST4	Q9P289	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	MUSK	MUSK	O15146	aa530-869	UniProt:O15146:575-856|KLIFS:448:positions1-85	PTC002	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MYLK3	MYLK3	Q32MK0	full-length	UniProt:Q32MK0:515-770|KLIFS:156:positions1-85	PTC005	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MYLK4	MYLK4	Q86YV6	full-length	UniProt:Q86YV6:106-361|KLIFS:157:positions1-85	PTC005	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MYO3A	MYO3A	Q8NEV4	aa 1-434	UniProt:Q8NEV4:21-287|KLIFS:365:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	MYO3B	MYO3B	Q8WXR4	Catalytic (1-326)	UniProt:Q8WXR4:27-293|KLIFS:366:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	NEK1	NEK1	Q96PY6	aa 1-505	UniProt:Q96PY6:4-258|KLIFS:281:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NEK2	NEK2	P51955	full-length	UniProt:P51955:8-271|KLIFS:286:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NEK3	NEK3	Q8WUN5	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	NEK4	NEK4 	P51957	full-length	UniProt:P51957:6-261|KLIFS:287:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NEK5	NEK5	Q6P3R8	aa 1-508	UniProt:Q6P3R8:4-259|KLIFS:283:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NEK6	NEK6	Q9HC98	full length	UniProt:Q9HC98:45-310|KLIFS:288:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	NEK7	NEK7 	Q8TDX7	full length	UniProt:Q8TDX7:34-299|KLIFS:289:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	NEK9	NEK9 	Q8TD19	Catalytic (aa 347-732)	UniProt:Q8TD19:52-308|KLIFS:290:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NEK11	NEK11	Q8NG66	full-length	UniProt:Q8NG66:29-287|KLIFS:285:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	NIM1	NIM1	Q8IY84	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	NLK	NLK	Q9UBE8	full length	UniProt:Q9UBE8:138-427|KLIFS:248:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	OSR1/OXSR1	OXSR1	O95747	full length	UniProt:O95747:17-291|KLIFS:353:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	P38a/MAPK14	MAPK14	Q16539	full-length	UniProt:Q16539:24-308|KLIFS:249:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	P38b/MAPK11	MAPK11	Q15759	full-length	UniProt:Q15759:24-308|KLIFS:250:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	P38d/MAPK13	MAPK13	O15264	full-length	UniProt:O15264:25-308|KLIFS:251:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	P38g/MAPK12	MAPK12	P53778	full-length	UniProt:P53778:27-311|KLIFS:252:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	p70S6K/RPS6KB1	RPS6KB1	P23443	Catalytic (aa 1-421)	UniProt:P23443:91-352|KLIFS:51:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	p70S6Kb/RPS6KB2	RPS6KB2 	Q9UBS0	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PAK1	PAK1	Q13153	full length	UniProt:Q13153:270-521|KLIFS:367:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PAK2	PAK2	Q13177	full length	UniProt:Q13177:249-499|KLIFS:368:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PAK3	PAK3	O75914	full length	UniProt:O75914:283-534|KLIFS:369:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PAK4	PAK4	O96013	Catalytic (aa 295-591)	UniProt:O96013:321-572|KLIFS:370:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PAK5	PAK7	Q9P286	aa 425-719			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PAK6	PAK6	Q9NQU5	full-length	UniProt:Q9NQU5:407-658|KLIFS:371:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PASK	PASK	Q96RG2	Catalytic (aa 879-1323)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PBK/TOPK	PBK	Q96KB5	full catalytic			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PDGFRa	PDGFRA	Q9DE49	Cytoplasmic (550-1089)			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PDGFRb	PDGFRB	P09619	Cytoplasmic (558-1106)	UniProt:P09619:600-962|KLIFS:453:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PDK1/PDPK1	PDPK1	O15530	full length	UniProt:O15530:82-342|KLIFS:27:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PHKg1	PHKG1	Q16816	full length	UniProt:Q16816:20-288|KLIFS:158:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PHKg2	PHKG2	P15735	full length	UniProt:P15735:24-291|KLIFS:159:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PIM1	PIM1	P11309	full length	UniProt:P11309:38-290|KLIFS:160:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PIM2	PIM2	Q9P1W9	full-length	UniProt:Q9P1W9:32-286|KLIFS:161:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PIM3	PIM3	Q86V86	full length	UniProt:Q86V86:40-293|KLIFS:162:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKA	PRKACA 	P17612	full-length	UniProt:P17612:44-298|KLIFS:28:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PKAcb	PRKACB	P22694	full-length	UniProt:P22694:44-298|KLIFS:29:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PKAcg	PRKACG	P22612	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKCa	PRKCA 	P17252	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKCb1	PRKCB1 	P05771	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKCb2	PRKCB2	P05771	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKCd	PRKCD	Q05655	full length	UniProt:Q05655:349-603|KLIFS:36:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKCepsilon	PRKCE	Q02156	full-length	UniProt:Q02156:408-668|KLIFS:38:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PKCeta	PRKCH	P24723	full length	UniProt:P24723:355-614|KLIFS:39:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKCg	PRKCG	P05129	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKCiota	PRKCI	P41743	full length	UniProt:P41743:254-522|KLIFS:40:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKCmu/PRKD1	PRKD1	Q15139	full length	UniProt:Q15139:583-839|KLIFS:163:positions1-85	PTC003	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKCnu/PRKD3	PRKD3	O94806	full-length	UniProt:O94806:576-832|KLIFS:164:positions1-85	PTC003	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PKCtheta	PRKCQ 	Q04759	full length	UniProt:Q04759:380-634|KLIFS:37:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKCzeta	PRKCZ 	Q05513	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKD2/PRKD2	PRKD2	Q9BZL6	full-length	UniProt:Q9BZL6:551-807|KLIFS:165:positions1-85	PTC003	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PKG1a	PRKG1	Q13976	full length	UniProt:Q13976:360-619|KLIFS:42:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKG1b	PRKG1	P14619	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PKG2/PRKG2	PRKG2	Q13237	full length	UniProt:Q13237:453-711|KLIFS:43:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKN1/PRK1	PKN1	Q16512	full length	UniProt:Q16512:615-874|KLIFS:44:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKN2/PRK2	PKN2	Q16513	full length	UniProt:Q16513:657-916|KLIFS:45:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PKN3/PRK3	PKN3	Q6P5Z2	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	PLK1	PLK1	P53350	full length	UniProt:P53350:53-305|KLIFS:311:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PLK2	PLK2	Q9NYY3	full length	UniProt:Q9NYY3:82-334|KLIFS:313:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PLK3	PLK3	Q9H4B4	Catalytic (58-340)	UniProt:Q9H4B4:62-314|KLIFS:312:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PLK4/SAK	PLK4	O00444	full-length	UniProt:O00444:12-265|KLIFS:314:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	PRKX	PRKX	P51817	full length	UniProt:P51817:49-303|KLIFS:31:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	PYK2	PTK2B	Q14289	full-length	UniProt:Q14289:425-683|KLIFS:424:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	RAF1	RAF1	P04049	catalytic (aa306-648)	UniProt:P04049:349-609|KLIFS:510:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	RET	RET	P07949	cytoplasmic (aa 658-1114)	UniProt:P07949:724-1016|KLIFS:454:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	RIPK2	RIPK2	O43353	aa 1-299	UniProt:O43353:18-294|KLIFS:512:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	RIPK4	RIPK4	P57078	aa 1-300	UniProt:P57078:22-286|KLIFS:514:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	RIPK5	DSTYK	Q6XUX3	full length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	ROCK1	ROCK1	Q13464	aa 1-535	UniProt:Q13464:76-338|KLIFS:9:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ROCK2	ROCK2	O75116	aa 5-554	UniProt:O75116:92-354|KLIFS:10:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
