source_row	source_name	affinity_matrix_name	publication_doi	publication_structure_pdf_page	pubchem_cid	pubchem_inchikey	reviewer	review_method	decision	decision_reason	publication_connectivity_status	stereochemistry_status	salt_status	protomer_policy	model_parent_smiles	model_parent_inchikey	chembl_agreement	chembl_ids	independent_identity_evidence
40	INCB018424	INCB18424	10.1038/nbt.1990	15	25126798	HFNKQEVNSGCOJV-OAHLLOKOSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved; INCB018424/INCB18424 typo resolved by row position and ruxolitinib identity	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	HFNKQEVNSGCOJV-OAHLLOKOSA-N	exact_stereo_parent	CHEMBL1789941	https://pubchem.ncbi.nlm.nih.gov/compound/25126798;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1789941
41	JNJ-28312141	JNJ-28312141	10.1038/nbt.1990	15	44551653	MVPKLZHNOLVZAU-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent_parent_counterion_not_drawn	no_unresolved_stereogenic_element	hydrochloride_counterion_removed_to_publication_parent	registry_parent_as_drawn; no pH/protomer enumeration in primary	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1	GUBJNPWVIUFSTR-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/44551653
42	Ki-20227	Ki-20227	10.1038/nbt.1990	15	9869779	SHPFDGWALWEPGS-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	QUARANTINED	publication and registries leave a potential stereogenic element unspecified	consistent	unresolved_potential_stereo	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary			no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/9869779
43	KW-2449	KW-2449	10.1038/nbt.1990	15	11427553	YYLKKYCXAOBSRM-JXMROGBWSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1	YYLKKYCXAOBSRM-JXMROGBWSA-N	exact_stereo_parent	CHEMBL1908397	https://pubchem.ncbi.nlm.nih.gov/compound/11427553;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1908397
44	Lapatinib	Lapatinib	10.1038/nbt.1990	16	208908	BCFGMOOMADDAQU-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	BCFGMOOMADDAQU-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL554	https://pubchem.ncbi.nlm.nih.gov/compound/208908;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL554
45	LY-317615	LY-317615	10.1038/nbt.1990	16	176167	AXRCEOKUDYDWLF-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	AXRCEOKUDYDWLF-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL300138	https://pubchem.ncbi.nlm.nih.gov/compound/176167;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL300138
46	LY-333531	LY-333531	10.1038/nbt.1990	16	153999	ZCBUQCWBWNUWSU-SFHVURJKSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	ZCBUQCWBWNUWSU-SFHVURJKSA-N	exact_stereo_parent	CHEMBL91829	https://pubchem.ncbi.nlm.nih.gov/compound/153999;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL91829
47	MLN-120B	MLN-120B	10.1038/nbt.1990	16	9929127	ZNOLRTPMNMPLHY-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1c(Cl)cc2c([nH]c3cnccc32)c1NC(=O)c1cccnc1C	ZNOLRTPMNMPLHY-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/9929127
48	MLN-518	MLN-518	10.1038/nbt.1990	16	3038522	UXXQOJXBIDBUAC-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1	UXXQOJXBIDBUAC-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL124660	https://pubchem.ncbi.nlm.nih.gov/compound/3038522;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL124660
49	MLN-8054	MLN-8054	10.1038/nbt.1990	16	11712649	HHFBDROWDBDFBR-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1	HHFBDROWDBDFBR-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL259084	https://pubchem.ncbi.nlm.nih.gov/compound/11712649;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL259084
50	Nilotinib	Nilotinib	10.1038/nbt.1990	16	644241	HHZIURLSWUIHRB-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1	HHZIURLSWUIHRB-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL255863	https://pubchem.ncbi.nlm.nih.gov/compound/644241;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL255863
51	Pazopanib	Pazopanib	10.1038/nbt.1990	17	10113978	CUIHSIWYWATEQL-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O	CUIHSIWYWATEQL-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL477772	https://pubchem.ncbi.nlm.nih.gov/compound/10113978;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL477772
52	PD-173955	PD-173955	10.1038/nbt.1990	17	447077	VAARYSWULJUGST-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1	VAARYSWULJUGST-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/447077
53	PHA-665752	PHA-665752	10.1038/nbt.1990	17	10461815	OYONTEXKYJZFHA-SSHUPFPWSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1	OYONTEXKYJZFHA-SSHUPFPWSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/10461815
54	PI-103	PI-103	10.1038/nbt.1990	17	9884685	TUVCWJQQGGETHL-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1	TUVCWJQQGGETHL-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/9884685
55	PKC-412	PKC-412	10.1038/nbt.1990	17	9829523	BMGQWWVMWDBQGC-IIFHNQTCSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	BMGQWWVMWDBQGC-IIFHNQTCSA-N	exact_stereo_parent	CHEMBL608533	https://pubchem.ncbi.nlm.nih.gov/compound/9829523;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL608533
56	PLX-4720	PLX-4720	10.1038/nbt.1990	17	24180719	YZDJQTHVDDOVHR-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F	YZDJQTHVDDOVHR-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/24180719
57	PP-242	PP-242	10.1038/nbt.1990	17	135565635	MFAQYJIYDMLAIM-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21	MFAQYJIYDMLAIM-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/135565635
58	PTK-787	PTK-787	10.1038/nbt.1990	18	151194	YCOYDOIWSSHVCK-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	YCOYDOIWSSHVCK-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL101253	https://pubchem.ncbi.nlm.nih.gov/compound/151194;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL101253
59	R406	R406	10.1038/nbt.1990	18	11213558	NHHQJBCNYHBUSI-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC	NHHQJBCNYHBUSI-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL475251	https://pubchem.ncbi.nlm.nih.gov/compound/11213558;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL475251
60	R547	R547	10.1038/nbt.1990	18	6918852	JRNJNYBQQYBCLE-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N	JRNJNYBQQYBCLE-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/6918852
61	SB-203580	SB-203580	10.1038/nbt.1990	18	176155	CDMGBJANTYXAIV-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	QUARANTINED	publication and registries leave a potential stereogenic element unspecified	consistent	unresolved_potential_stereo	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary			no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/176155
62	SGX-523	SGX-523	10.1038/nbt.1990	18	24779724	BCZUAADEACICHN-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1	BCZUAADEACICHN-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL1236107	https://pubchem.ncbi.nlm.nih.gov/compound/24779724;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1236107
63	SKI-606	SKI-606	10.1038/nbt.1990	18	5328940	UBPYILGKFZZVDX-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	UBPYILGKFZZVDX-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL288441	https://pubchem.ncbi.nlm.nih.gov/compound/5328940;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL288441
64	Sorafenib	Sorafenib	10.1038/nbt.1990	18	216239	MLDQJTXFUGDVEO-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	MLDQJTXFUGDVEO-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL1336	https://pubchem.ncbi.nlm.nih.gov/compound/216239;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1336
65	Staurosporine	Staurosporine	10.1038/nbt.1990	19	44259	HKSZLNNOFSGOKW-FYTWVXJKSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	HKSZLNNOFSGOKW-FYTWVXJKSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/44259
66	SU-14813	SU-14813	10.1038/nbt.1990	19	10138259	CTNPALGJUAXMMC-PMFHANACSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1	CTNPALGJUAXMMC-PMFHANACSA-N	exact_stereo_parent	CHEMBL1721885	https://pubchem.ncbi.nlm.nih.gov/compound/10138259;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1721885
67	Sunitinib	Sunitinib	10.1038/nbt.1990	19	5329102	WINHZLLDWRZWRT-ATVHPVEESA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	WINHZLLDWRZWRT-ATVHPVEESA-N	exact_stereo_parent	CHEMBL535	https://pubchem.ncbi.nlm.nih.gov/compound/5329102;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL535
68	TAE-684	TAE-684	10.1038/nbt.1990	19	16038120	QQWUGDVOUVUTOY-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	QQWUGDVOUVUTOY-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/16038120
69	TG-100-115	TG-100-115	10.1038/nbt.1990	19	10427712	UJIAQDJKSXQLIT-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1	UJIAQDJKSXQLIT-UHFFFAOYSA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/10427712
70	TG-101348	TG-101348	10.1038/nbt.1990	19	16722836	JOOXLOJCABQBSG-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	JOOXLOJCABQBSG-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL1287853	https://pubchem.ncbi.nlm.nih.gov/compound/16722836;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1287853
71	Vandetanib	Vandetanib	10.1038/nbt.1990	19	3081361	UHTHHESEBZOYNR-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1	UHTHHESEBZOYNR-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL24828	https://pubchem.ncbi.nlm.nih.gov/compound/3081361;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL24828
72	VX-680/MK-0457	VX-680/MK-0457	10.1038/nbt.1990	20	5494449	GCIKSSRWRFVXBI-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1	GCIKSSRWRFVXBI-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL572878	https://pubchem.ncbi.nlm.nih.gov/compound/5494449;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL572878
73	VX-745	VX-745	10.1038/nbt.1990	20	3038525	VEPKQEUBKLEPRA-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl	VEPKQEUBKLEPRA-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL119385	https://pubchem.ncbi.nlm.nih.gov/compound/3038525;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL119385
